MP ID,Chemical Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,d_NNN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,FB Lattice Dimensionality,FB Lattice IDs,RCSR Name,Flat with decay,Flat with no decay
mp-1220700,Nb2Al3Ir,Al,2,12,6,2.56147,4.28872,3,['P6_3/mmc'],194,-0.62780459,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1187117,Sn3Pb,Sn,2,8,6,3.32353,3.49362,2,['P6_3/mmc'],194,0.05275991,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-776015,Li2Ti3NiO8,Ti,4,56,12,2.92944,5.16392,4,['R3m'],160,-2.90570582,2.2796,[2],['SK-1'],['kgm'],True,True
mp-756839,Li3MnCr4O8,Li,1,16,3,2.97649,5.19374,4,['C2/m'],12,-2.21673592,0.6289,[2],['SK-1'],['kgm'],False,True
mvc-10370,Zn(MoO2)2,Mo,4,42,12,3.12445,3.62123,3,['P1'],1,-1.71592509,1.0828,"[2, 2]","['SK-18', 'SK-1']","['None', 'kgm']",True,True
mp-1224003,Ho3Mn3Ga2Si,Ho,1,9,3,3.53714,4.14517,4,['P-6'],174,-0.34360272,0.0,[2],['SK-1'],['kgm'],True,True
mp-760755,KAl11O17,Al,2,29,11,2.79439,2.93643,3,['R3m'],160,-3.37397391,4.6169,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1174243,Li4Mn3CoO8,Mn,1,16,3,2.90513,5.10823,4,['C2/m'],12,-2.00143422,0.0,[2],['SK-1'],['kgm'],False,True
mp-1215321,ZrMnFe,Fe,1,12,4,2.42331,4.28284,3,['Amm2'],38,-0.19102411,0.0,[2],['SK-1'],['kgm'],False,True
mp-771523,LiCr2O4,Cr,2,28,8,2.89066,3.04893,3,['Cc'],9,-2.243648,0.4267,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-531201,Ho2CdSe4,Ho,7,70,20,4.10797,4.8715,3,['R3m'],160,-1.72258841,0.7393,"[2, 2, 2]","['SK-73', 'SK-1', 'SK-1']","['None', 'kgm', 'kgm']",True,True
mp-1175550,Li9Mn2Co5O16,Co,1,32,5,2.8567,5.00116,4,['P-1'],2,-1.81410901,0.0,[2],['SK-1'],['kgm'],False,True
mp-1191177,Tb2Co7B3,Co,6,24,14,2.44925,2.90706,3,['P6/mmm'],191,-0.39326805,0.0,"[2, 2, 2]","['SK-1', 'SK-1', 'LI-51']","['kgm', 'None', 'kgm']",True,True
mp-1176906,Li6V3P8O29,V,2,92,6,4.98322,7.02605,4,['Cc'],9,-2.66016388,1.465,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1225118,Er(Fe5Si)2,Fe,2,13,10,2.3155,2.54829,3,['Immm'],71,-0.24411504,0.0,[2],['SK-1'],['kgm'],False,True
mp-1275013,Li4TiCo3O8,Co,2,32,6,2.87429,5.00632,4,['P-1'],2,-2.08310426,0.6227,[2],['SK-1'],['kgm'],False,True
mp-1226789,CdFe4NiO8,Fe,1,14,4,3.01887,3.59264,4,['R3m'],160,-1.5657096,1.1307,[2],['SK-1'],['kgm'],True,True
